ID,area_,bounds
-170-20,253639579.2464818,"(-170.0, -20.0, -159.995, -9.995)"
-170-10,8233000.516372842,"(-170.0, -10.0, -159.995, 0.005)"
-17010,491746.054473495,"(-170.0, 10.0, -159.995, 20.005)"
-17020,215888516.82348463,"(-170.0, 20.0, -159.995, 30.004999999999992)"
-17050,40683016606.30067,"(-170.0, 49.99999999999999, -159.995, 60.00500000000001)"
-17060,232462324831.73996,"(-170.0, 59.99999999999999, -159.995, 70.005)"
-17070,3048523360.641204,"(-170.0, 70.0, -159.995, 80.005)"
-160-30,106986140.19657984,"(-160.0, -29.999999999999996, -149.995, -19.994999999999997)"
-160-20,233342280.94956937,"(-160.0, -20.0, -149.995, -9.995)"
-1600,420787964.7370047,"(-160.0, 0.0, -149.995, 10.005)"
-16010,9960553983.982855,"(-160.0, 9.999999999999998, -149.995, 20.005)"
-16020,6623523998.472762,"(-160.0, 20.0, -149.995, 30.005)"
-16050,117892865430.02759,"(-160.0, 49.99999999999999, -149.995, 60.00500000000001)"
-16060,513287772298.5493,"(-160.0, 59.99999999999999, -149.995, 70.005)"
-16070,32373577474.392532,"(-160.0, 70.0, -149.995, 80.005)"
-150-20,1199224091.536273,"(-150.0, -20.0, -139.99500000000003, -9.995)"
-150-10,342020981.3561301,"(-150.0, -10.0, -139.99500000000003, 0.004999999999999999)"
-15050,4725076292.417893,"(-150.0, 49.99999999999999, -139.99500000000003, 60.00500000000001)"
-15060,502665907753.2474,"(-150.0, 59.99999999999999, -139.99500000000003, 70.005)"
-15070,4834066534.767677,"(-150.0, 70.0, -139.99500000000003, 80.005)"
-140-30,7535792.567669446,"(-140.0, -29.999999999999996, -129.995, -19.994999999999997)"
-140-10,356584065.73675996,"(-140.0, -10.0, -129.995, 0.005)"
-14050,197884044113.2833,"(-140.0, 49.99999999999999, -129.995, 60.00500000000001)"
-14060,491417068925.4073,"(-140.0, 59.99999999999999, -129.995, 70.005)"
-14070,345631527.6990497,"(-140.0, 70.0, -129.995, 80.005)"
-130-30,40692819.32519269,"(-130.0, -29.999999999999993, -119.99500000000002, -19.994999999999997)"
-13030,124444139883.33339,"(-130.0, 29.999999999999993, -119.99500000000002, 40.005)"
-13040,373349414216.58514,"(-130.0, 40.0, -119.99500000000002, 50.005)"
-13050,655064343343.9854,"(-130.0, 49.99999999999999, -119.99500000000002, 60.00500000000001)"
-13060,506597547944.05084,"(-130.0, 59.99999999999999, -119.99500000000002, 70.005)"
-13070,58560023256.960434,"(-130.0, 70.0, -119.99500000000005, 80.005)"
-12010,179360703.29989123,"(-120.00000000000001, 10.0, -109.99500000000002, 20.005000000000003)"
-12020,148616247562.42838,"(-119.99999999999999, 20.0, -109.995, 30.004999999999992)"
-12030,853260199638.6702,"(-120.00000000000001, 29.999999999999993, -109.995, 40.00500000000001)"
-12040,872916074735.4038,"(-120.00000000000001, 40.0, -109.995, 50.005)"
-12050,707147326461.7683,"(-119.99999999999999, 49.99999999999999, -109.995, 60.00500000000001)"
-12060,484537358090.57965,"(-119.99999999999999, 59.99999999999999, -109.995, 70.005)"
-12070,148246191952.07748,"(-119.99999999999999, 70.0, -109.995, 80.005)"
-110-30,184545742.07397947,"(-110.00000000000001, -29.999999999999993, -99.995, -19.994999999999997)"
-11010,118909848383.7358,"(-110.00000000000001, 10.0, -99.995, 20.005)"
-11020,892626558284.5536,"(-110.00000000000001, 19.999999999999996, -99.995, 30.004999999999992)"
-11030,1012556322456.8179,"(-110.00000000000001, 29.999999999999993, -99.995, 40.005)"
-11040,872916074735.4055,"(-110.00000000000001, 39.99999999999999, -99.995, 50.005)"
-11050,707147326461.7697,"(-110.00000000000001, 49.99999999999999, -99.995, 60.00500000000001)"
-11060,470900564742.8997,"(-110.0, 59.99999999999999, -99.995, 70.005)"
-11070,116388385740.72604,"(-110.00000000000001, 70.0, -99.995, 80.005)"
-100-10,6814317047.346126,"(-100.0, -10.0, -89.995, 0.004999999999999999)"
-1000,296018901.58019954,"(-100.0, 0.0, -89.995, 10.005000000000003)"
-10010,435230090912.8915,"(-100.0, 9.999999999999998, -89.995, 20.005)"
-10020,358474317398.36456,"(-100.0, 20.0, -89.995, 30.004999999999992)"
-10030,1011244882325.7096,"(-100.0, 29.999999999999993, -89.995, 40.00500000000001)"
-10040,872916074735.4053,"(-100.0, 39.99999999999999, -89.995, 50.005)"
-10050,638248977443.1174,"(-100.0, 49.99999999999999, -89.995, 60.00500000000001)"
-10060,409320972556.9326,"(-100.0, 59.99999999999999, -89.995, 70.005)"
-10070,143237574736.53378,"(-100.0, 70.0, -89.995, 80.005)"
-90-10,62232590910.31274,"(-90.0, -10.0, -79.995, 0.004999999999999999)"
-900,68816680653.2499,"(-90.0, 0.0, -79.995, 10.005)"
-9010,403283458957.7722,"(-90.0, 10.0, -79.995, 20.005)"
-9020,198726589626.83667,"(-90.0, 20.0, -79.995, 30.004999999999992)"
-9030,967816985312.3411,"(-90.0, 29.999999999999993, -79.995, 40.005)"
-9040,872916074735.4037,"(-90.0, 40.0, -79.995, 50.005)"
-9050,370451492205.32776,"(-90.0, 49.99999999999999, -79.995, 60.00500000000001)"
-9060,182166207453.4323,"(-90.0, 59.99999999999999, -79.995, 70.005)"
-9070,222510897799.45383,"(-90.0, 70.0, -79.995, 80.005)"
-80-60,116856378569.49411,"(-80.0, -59.99999999999999, -69.995, -49.995)"
-80-50,358300368831.82605,"(-80.0, -49.99999999999999, -69.995, -39.995)"
-80-40,244773323147.182,"(-80.0, -40.00000000000001, -69.995, -29.995000000000005)"
-80-30,72583206875.88768,"(-80.0, -29.999999999999996, -69.995, -19.994999999999997)"
-80-20,531410984326.9704,"(-80.0, -20.0, -69.995, -9.995)"
-80-10,1193543695787.4097,"(-80.0, -10.0, -69.995, 0.005)"
-800,971411477988.7694,"(-80.0, 0.0, -69.995, 10.005000000000003)"
-8010,165467265396.10355,"(-80.0, 10.0, -69.995, 20.005)"
-8020,77452600589.18019,"(-80.0, 20.0, -69.995, 30.004999999999992)"
-8030,251610140095.10217,"(-80.0, 29.999999999999993, -69.995, 40.00500000000001)"
-8040,814080350034.1786,"(-80.0, 39.99999999999999, -69.995, 50.005)"
-8050,592565576734.9667,"(-80.0, 49.99999999999999, -69.995, 60.00500000000001)"
-8060,262244372345.67242,"(-80.0, 59.99999999999999, -69.995, 70.005)"
-8070,124771170623.26167,"(-80.0, 70.0, -69.995, 80.005)"
-70-60,72187418045.03932,"(-70.0, -59.99999999999999, -59.995, -49.995)"
-70-50,375951785573.54626,"(-70.0, -50.0, -59.995, -39.995)"
-70-40,989524171292.9878,"(-70.0, -40.00000000000001, -59.995, -29.995000000000005)"
-70-30,1121623467756.13,"(-70.0, -29.999999999999996, -59.995, -19.994999999999997)"
-70-20,1196406153787.713,"(-70.0, -20.0, -59.995, -9.995)"
-70-10,1234443365135.6284,"(-70.0, -10.0, -59.995, 0.005)"
-700,1212861858087.735,"(-70.0, 0.0, -59.995, 10.005000000000003)"
-7010,97137385842.12646,"(-70.0, 10.0, -59.995, 20.005)"
-7030,21478658.0051887,"(-70.0, 29.999999999999993, -59.995, 40.005)"
